,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,37,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,1,0,0
Subaru,1,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dodge,2,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Tesla,0,0,0,37,2,0,8,5,3,2,0,0,3,2,0,1,0,0,0,3,8
Toyota,4,0,0,1,34,11,13,3,15,10,0,0,2,2,1,1,3,2,0,6,2
Honda,1,0,0,1,5,40,3,7,6,6,6,0,1,0,5,0,1,0,0,1,2
Nissan,0,0,0,2,1,3,34,2,0,2,6,0,0,0,2,0,2,0,0,3,0
Chevrolet,5,0,0,0,5,0,3,30,0,4,0,0,0,1,2,1,2,0,0,1,1
Hyundai,0,0,0,0,1,3,1,0,34,1,0,0,0,1,0,0,0,0,0,0,1
Mazda,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0
Renault,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,1,1,0,1
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,3,0
Mercedes-Benz,0,0,0,1,4,3,1,1,2,4,10,3,38,8,2,1,2,2,7,7,1
BMW,0,0,0,2,3,3,2,1,3,13,0,4,11,35,2,9,11,3,2,14,3
Ford,3,0,1,2,10,2,2,18,9,8,0,2,3,1,28,2,1,6,0,1,5
Porsche,0,0,2,0,1,1,0,0,1,1,1,5,2,5,0,32,1,2,3,4,1
Audi,0,0,0,0,2,0,0,0,0,1,0,1,4,4,0,2,26,8,0,4,0
Volkswagen,0,0,0,1,4,2,6,0,4,1,0,0,3,0,0,6,6,29,0,1,1
Ferrari,0,0,1,0,0,0,3,0,0,0,11,12,2,2,2,6,1,0,35,2,0
Lexus,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,13,0
Volvo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
