,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,49,0,0,1,1,0,1,0,3,2,1,0,1,1,2,1,1,0,2,0,0
Subaru,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Dodge,4,0,57,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Tesla,0,0,0,59,3,1,7,5,4,0,0,0,2,1,1,2,5,2,0,1,7
Toyota,3,0,0,4,52,15,21,7,19,12,2,0,7,1,0,0,3,10,0,12,4
Honda,1,0,0,0,9,58,4,1,7,15,4,2,2,2,9,0,3,0,1,5,3
Nissan,0,0,0,2,3,3,55,1,2,3,6,0,0,1,3,0,1,2,1,2,2
Chevrolet,5,0,0,1,4,3,2,44,0,0,0,0,1,1,2,0,2,1,0,2,4
Hyundai,1,0,0,0,0,1,1,2,52,0,0,0,0,0,0,0,0,1,0,1,0
Mazda,1,0,0,0,0,1,1,0,1,48,0,0,0,0,0,0,0,0,0,2,0
Renault,1,0,0,0,1,1,1,0,0,0,41,0,0,1,0,0,0,2,3,0,2
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,60,1,0,0,3,1,0,3,0,0
Mercedes-Benz,0,0,0,1,0,2,0,0,0,2,17,4,50,11,3,8,6,1,5,8,0
BMW,1,0,0,1,1,6,7,1,3,12,7,8,9,56,5,13,24,1,2,18,8
Ford,10,0,2,1,16,7,3,25,16,8,2,0,3,2,41,6,4,6,1,1,6
Porsche,0,0,0,0,0,0,1,0,0,1,3,3,0,6,2,45,0,4,2,3,1
Audi,0,0,0,0,1,0,1,0,0,1,4,9,7,3,1,2,46,6,0,5,1
Volkswagen,1,0,0,0,6,0,8,2,4,6,0,1,6,3,2,4,8,46,0,2,3
Ferrari,0,0,0,0,2,0,0,0,1,0,22,18,6,1,0,13,1,0,57,0,0
Lexus,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,0
Volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,46
