,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,30,0,3,0,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0
Subaru,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,1,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla,0,0,0,29,1,0,6,3,1,1,0,0,0,0,2,0,1,2,1,2,7
Toyota,1,0,0,1,27,12,7,6,13,5,3,0,0,3,0,1,4,3,1,3,2
Honda,1,0,0,1,5,30,3,3,10,6,3,0,1,2,1,0,2,1,1,2,0
Nissan,0,0,0,0,3,0,25,3,0,0,5,0,0,1,0,0,0,0,0,2,1
Chevrolet,2,0,0,0,1,1,2,21,0,0,0,0,1,0,3,0,2,0,0,0,1
Hyundai,1,0,0,0,0,1,1,2,27,0,0,0,0,1,0,0,0,0,0,0,1
Mazda,0,0,0,0,0,0,0,1,0,22,0,0,0,1,1,1,0,0,0,3,1
Renault,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,1,0,1
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0
Mercedes-Benz,0,0,1,1,1,1,0,0,1,0,9,3,25,4,1,4,2,1,2,4,2
BMW,0,0,0,1,1,4,3,0,2,3,1,3,5,24,0,8,8,4,1,10,6
Ford,6,0,2,2,9,5,3,14,4,5,0,0,2,2,21,3,1,3,0,2,3
Porsche,0,0,1,0,0,0,0,0,0,1,1,1,0,5,1,25,2,1,2,0,0
Audi,0,0,0,0,0,1,1,0,1,0,1,4,4,2,0,2,21,5,1,2,0
Volkswagen,0,0,0,0,2,1,4,1,5,4,0,0,2,0,0,2,4,25,0,1,0
Ferrari,0,0,0,1,0,0,0,0,0,0,14,6,2,1,0,9,0,0,27,0,0
Lexus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,14,0
Volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
