,Unnamed: 0,The car brand is similar to
0,Audi,297
1,BMW,546
2,Buick,2
3,Chevrolet,69
4,Dodge,7
5,Ferrari,221
6,Ford,334
7,GMC,4
8,Honda,127
9,Hyundai,33
10,Infiniti,1
11,Jeep,63
12,Lamborghini,33
13,Lexus,26
14,MG,2
15,Mazda,36
16,Mercedes-Benz,636
17,Nissan,81
18,Porsche,228
19,Ram,1
20,Renault,23
21,Subaru,17
22,Tesla,106
23,Toyota,221
24,Volkswagen,209
25,Volvo,18
