,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,55,0,0,3,0,0,0,8,2,2,0,0,1,0,0,1,0,0,2,0,0
Subaru,0,44,0,0,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,1,0
Dodge,3,0,52,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Tesla,1,0,0,57,2,2,12,1,6,2,0,1,3,2,1,1,4,4,0,0,15
Toyota,1,0,1,1,53,13,12,8,19,13,0,0,7,2,6,3,5,6,0,10,3
Honda,1,0,3,0,12,58,7,5,9,10,8,3,2,2,2,5,5,0,2,3,5
Nissan,0,0,1,0,3,4,55,2,4,4,4,0,4,0,0,4,0,1,0,5,1
Chevrolet,2,0,1,0,0,1,4,39,3,3,0,0,3,0,3,3,1,0,0,3,2
Hyundai,1,0,1,0,0,1,1,2,55,1,0,0,0,0,2,1,1,0,0,0,0
Mazda,0,0,0,0,1,0,1,2,0,46,0,0,1,1,1,1,1,0,0,0,0
Renault,0,0,0,0,1,0,0,0,0,0,40,0,1,0,0,0,0,2,1,0,0
Lamborghini,0,0,0,0,0,0,0,0,0,0,1,58,2,0,0,0,0,0,2,0,0
Mercedes-Benz,1,0,0,0,4,4,2,4,2,1,18,5,53,6,0,9,8,2,6,10,1
BMW,2,0,1,0,6,7,7,1,4,5,4,4,13,56,2,14,17,3,5,16,8
Ford,8,0,0,4,10,2,5,24,15,16,1,1,7,4,36,9,3,7,0,3,6
Porsche,0,0,1,0,1,1,1,2,0,0,5,5,3,1,1,45,2,3,4,4,0
Audi,0,0,0,0,3,0,2,1,1,0,3,3,5,3,0,4,51,8,2,2,1
Volkswagen,0,0,0,1,5,0,4,2,5,5,1,1,7,3,1,4,8,45,0,3,0
Ferrari,0,0,1,0,0,0,1,0,0,0,21,17,5,1,0,7,2,0,57,0,0
Lexus,0,1,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,22,0
Volvo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,41
