,Unnamed: 0,Mercedes-Benz is similar to,Nissan is similar to
0,Jeep,11,12
1,Subaru,3,12
2,Dodge,2,2
3,GMC,1,3
4,Tesla,56,191
5,Buick,0,0
6,Toyota,126,498
7,Honda,26,182
8,Nissan,26,1402
9,Chevrolet,18,70
10,Hyundai,9,33
11,Ram,0,0
12,Mazda,3,31
13,Renault,8,32
14,Lamborghini,3,4
15,Mercedes-Benz,1407,69
16,BMW,400,198
17,Ford,67,160
18,Porsche,73,30
19,Audi,126,28
20,Volkswagen,118,141
21,Ferrari,94,26
22,MG,0,0
23,Lexus,11,9
24,Infiniti,2,6
25,Volvo,2,11
