,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,45,0,1,0,1,0,0,1,0,2,1,1,0,0,0,0,1,0,0,1,0
Subaru,0,33,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0
Dodge,3,0,47,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tesla,0,0,0,49,5,1,7,2,2,1,0,2,1,1,0,1,1,2,0,0,8
Toyota,4,0,0,1,43,13,17,10,21,17,3,0,7,1,3,1,3,3,1,10,4
Honda,2,0,0,1,8,47,6,3,4,12,5,0,1,2,0,1,5,2,3,3,2
Nissan,0,0,0,2,4,5,47,4,0,1,6,0,0,0,0,0,2,1,0,3,2
Chevrolet,6,0,0,1,1,1,2,35,1,0,1,0,1,0,1,0,2,0,0,0,3
Hyundai,0,0,0,1,1,2,0,0,45,0,0,0,1,1,0,0,2,1,0,0,0
Mazda,0,0,0,1,3,1,1,1,0,42,0,0,0,1,0,0,0,1,0,2,1
Renault,0,0,0,0,1,0,0,1,0,0,31,0,0,0,0,0,0,0,0,1,2
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1,1,0,1,1,0,0
Mercedes-Benz,1,0,1,1,1,0,4,1,1,0,13,3,43,4,1,6,6,1,4,9,3
BMW,0,0,0,2,3,4,6,2,2,4,4,3,6,43,1,12,10,2,2,20,7
Ford,5,0,1,1,19,3,6,24,6,10,1,0,3,0,32,3,5,5,0,5,6
Porsche,0,0,0,0,0,0,2,0,0,0,2,6,5,1,3,45,3,6,3,1,1
Audi,0,0,0,0,0,0,1,2,0,0,1,0,3,3,0,3,39,6,1,5,1
Volkswagen,2,0,0,1,1,2,5,3,4,5,0,0,4,0,0,5,17,41,0,1,2
Ferrari,0,0,1,0,0,0,1,0,0,0,14,16,3,0,5,13,2,1,49,1,0
Lexus,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0
Volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
