,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,54,0,1,0,2,0,1,3,0,1,0,0,0,0,2,0,1,0,2,0,0
Subaru,0,44,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Dodge,7,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla,0,0,1,58,8,1,4,1,3,2,0,2,3,5,0,1,2,4,0,1,12
Toyota,3,1,0,3,48,18,15,8,16,10,3,0,2,1,3,4,3,4,0,11,5
Honda,2,0,1,0,12,56,4,4,6,10,5,2,2,4,3,1,2,2,1,5,5
Nissan,1,0,0,1,13,4,52,1,2,2,7,0,0,0,1,2,1,1,0,1,1
Chevrolet,6,0,0,0,1,1,2,45,1,1,1,0,0,1,1,0,3,1,1,2,6
Hyundai,1,0,0,0,4,0,3,1,55,1,0,0,1,0,0,1,1,1,0,0,2
Mazda,0,0,0,0,0,0,0,1,0,47,0,0,0,1,2,0,1,2,0,1,0
Renault,0,0,0,0,0,0,1,1,0,0,42,0,0,0,0,0,0,0,1,0,0
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,5,0,0,2,0,0
Mercedes-Benz,1,0,1,2,1,5,1,2,0,3,17,3,48,11,2,8,5,0,7,11,6
BMW,1,0,0,2,2,4,8,3,5,7,2,5,16,55,2,15,17,5,0,20,14
Ford,4,0,3,1,22,5,5,24,11,15,1,1,1,1,32,4,3,8,1,2,10
Porsche,1,0,1,0,0,0,2,1,0,0,1,4,0,1,1,49,2,1,2,5,0
Audi,1,0,0,0,0,0,2,0,0,0,1,6,4,2,0,3,43,7,0,3,2
Volkswagen,1,0,0,0,6,2,3,3,5,5,0,0,6,1,1,10,17,52,0,1,0
Ferrari,0,0,1,0,2,0,0,0,0,0,28,24,5,0,2,12,1,0,57,1,1
Lexus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0
Volvo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,44
