,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,57,0,0,1,1,1,0,7,1,2,1,0,2,0,0,1,1,0,0,0,2
Subaru,0,46,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Dodge,5,0,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Tesla,0,0,0,58,9,3,8,10,11,1,0,1,2,2,0,0,2,8,0,1,12
Toyota,1,1,0,2,54,15,15,10,20,15,3,0,3,1,2,4,7,11,0,13,10
Honda,1,0,0,2,8,57,11,5,7,10,10,5,0,1,5,1,0,5,1,3,6
Nissan,0,0,0,0,8,6,54,5,5,1,5,1,1,0,0,1,3,1,1,5,6
Chevrolet,4,0,0,1,0,2,3,49,1,1,0,0,0,1,2,0,1,1,0,0,0
Hyundai,0,0,0,0,3,2,3,0,40,4,0,0,0,0,0,0,1,0,0,0,0
Mazda,0,0,0,0,1,1,3,0,0,47,0,0,0,0,1,1,0,2,0,2,0
Renault,0,0,0,0,0,0,1,0,0,0,34,0,1,1,0,0,1,1,0,0,2
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0,0
Mercedes-Benz,0,0,0,0,0,3,5,4,0,1,21,1,51,12,1,2,7,2,1,9,2
BMW,1,0,0,1,4,8,12,2,5,9,4,5,14,54,2,15,19,1,1,20,13
Ford,10,0,4,6,18,4,5,24,7,14,2,0,5,1,39,8,6,10,2,1,7
Porsche,0,0,1,0,0,0,3,1,0,0,2,5,4,3,0,53,6,6,0,1,0
Audi,0,0,0,0,0,0,1,1,0,0,1,4,4,1,0,2,45,7,0,1,1
Volkswagen,0,0,0,1,10,0,5,1,5,2,0,0,8,1,0,9,11,47,0,0,5
Ferrari,0,0,0,1,0,1,1,0,1,0,23,20,4,0,1,14,0,0,58,0,0
Lexus,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,19,0
Volvo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,44
