,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,40,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
Subaru,0,27,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dodge,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tesla,0,0,0,44,4,0,6,8,4,3,0,2,5,4,2,2,1,2,1,2,7
Toyota,3,0,1,0,39,9,11,5,15,11,1,0,1,2,5,1,4,2,0,7,5
Honda,0,0,0,0,10,43,8,4,6,3,10,1,2,4,1,2,6,1,1,7,6
Nissan,1,0,0,0,4,2,40,1,1,2,13,0,1,0,2,1,3,0,0,4,2
Chevrolet,5,0,0,1,2,2,0,32,0,2,0,1,1,1,1,1,1,1,0,2,5
Hyundai,1,0,0,0,0,1,1,0,37,1,0,0,0,0,0,0,0,1,0,0,0
Mazda,0,0,1,0,0,0,0,1,1,36,0,0,0,0,0,0,0,0,0,1,0
Renault,0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,1,1,0,1
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,0,0,0,0
Mercedes-Benz,0,0,0,0,1,2,1,1,2,2,11,4,38,7,2,2,6,1,9,12,3
BMW,0,0,0,0,2,7,7,2,1,4,4,8,9,38,1,9,17,0,2,13,5
Ford,8,0,2,1,12,4,6,20,12,9,3,1,2,3,30,3,2,5,0,2,6
Porsche,0,0,0,0,0,1,0,1,0,1,1,5,1,5,2,37,2,2,1,1,1
Audi,0,0,0,0,0,0,1,0,1,1,2,1,0,2,0,2,36,4,1,4,2
Volkswagen,0,0,0,0,4,0,4,2,2,1,1,0,3,1,0,2,6,32,0,1,3
Ferrari,0,0,0,0,0,0,0,0,0,0,16,14,1,0,1,12,1,0,42,3,0
Lexus,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0
Volvo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30
