,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,45,0,1,0,2,2,1,0,0,2,0,0,0,0,1,0,1,0,1,0,0
Subaru,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,1,0,44,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Tesla,0,0,0,48,3,1,4,6,3,1,0,0,1,0,2,0,0,4,0,2,6
Toyota,4,0,0,0,44,13,17,7,18,17,0,0,5,3,3,1,5,2,0,10,2
Honda,1,0,0,0,8,48,7,2,5,6,4,1,1,2,2,2,6,1,2,4,6
Nissan,0,0,0,1,2,1,41,0,2,0,9,0,0,0,1,0,1,0,0,5,2
Chevrolet,6,0,1,0,1,2,1,41,3,1,1,1,0,0,2,1,1,0,0,0,4
Hyundai,0,0,0,0,0,2,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0
Mazda,0,0,1,0,1,1,0,1,0,37,0,0,0,0,1,0,0,0,0,1,0
Renault,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,1,0,0,2,0,2
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0
Mercedes-Benz,0,0,1,2,1,1,4,3,1,2,9,4,44,4,0,3,5,3,8,11,3
BMW,0,0,0,2,1,10,5,1,4,6,5,9,12,46,1,10,14,2,3,16,10
Ford,7,0,1,0,16,4,3,23,9,10,2,1,2,2,30,5,1,5,1,2,4
Porsche,0,0,0,0,0,0,3,0,0,1,2,4,1,0,3,39,2,0,0,0,1
Audi,0,0,0,1,0,1,1,1,1,2,2,1,2,1,1,2,39,4,0,7,0
Volkswagen,0,0,0,0,6,2,4,2,5,5,1,0,3,1,1,3,10,42,0,0,1
Ferrari,0,0,0,0,0,0,1,0,1,0,17,20,1,0,2,6,0,0,48,0,0
Lexus,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,0
Volvo,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,40
