,Mercedes-Benz is similar to,Nissan is similar to
Jeep,0,1
Subaru,2,1
Dodge,0,1
GMC,1,1
Tesla,8,19
Buick,0,0
Toyota,19,63
Honda,4,20
Nissan,2,170
Chevrolet,1,9
Hyundai,3,8
Ram,0,0
Mazda,1,5
Renault,1,4
Lamborghini,0,0
Mercedes-Benz,168,12
BMW,50,23
Ford,8,14
Porsche,7,2
Audi,14,3
Volkswagen,12,12
Ferrari,13,3
MG,0,0
Lexus,0,2
Infiniti,0,1
Volvo,0,1
