,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,56,0,1,0,1,0,0,2,1,1,1,2,0,0,1,0,1,2,1,0,0
Subaru,0,36,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Dodge,1,0,51,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Tesla,2,0,0,58,8,1,11,7,2,2,0,0,0,1,2,1,5,1,0,1,7
Toyota,2,0,0,1,49,15,18,6,24,19,1,1,6,3,3,2,1,4,1,16,7
Honda,1,0,1,0,5,55,7,4,5,10,7,1,3,2,3,2,3,2,0,6,5
Nissan,0,0,0,0,8,6,49,4,2,1,7,1,1,0,1,0,1,0,1,4,3
Chevrolet,1,0,1,1,3,1,4,50,1,2,2,1,0,0,1,0,0,1,0,2,3
Hyundai,0,0,0,0,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0,1,1
Mazda,0,0,0,0,0,2,2,2,1,44,1,0,0,0,0,0,2,0,1,3,1
Renault,0,0,0,0,1,0,1,0,0,0,48,0,0,0,0,0,0,0,1,0,1
Lamborghini,0,0,0,0,0,0,0,0,0,0,1,55,0,1,0,3,0,0,1,0,0
Mercedes-Benz,1,0,0,0,3,0,1,0,0,2,17,4,52,6,1,8,10,0,9,10,7
BMW,0,0,0,0,4,5,4,0,3,9,5,4,16,53,2,11,19,1,5,13,14
Ford,3,0,4,1,17,5,10,30,7,13,2,0,2,2,39,4,3,9,1,2,12
Porsche,1,0,0,0,0,1,1,0,0,0,0,5,2,2,2,45,3,2,1,2,0
Audi,0,0,0,0,2,0,0,0,0,2,2,5,5,4,0,3,48,4,1,2,3
Volkswagen,1,0,0,0,7,0,8,2,6,6,1,0,6,4,2,4,12,52,0,1,4
Ferrari,0,0,0,0,1,1,0,0,0,1,20,20,3,1,0,17,1,0,53,1,0
Lexus,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,16,1
Volvo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44
