,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,55,2,2,2,0,2,0,1,1,2,2,1,1,3,1
Mercedes-Benz,0,43,2,0,0,3,0,2,0,3,1,5,2,2,2
Ford,0,1,53,2,0,2,1,3,2,6,3,0,1,2,2
Hyundai,0,1,0,46,0,0,0,0,0,0,2,0,0,0,0
Kia,0,0,0,8,51,0,0,0,0,0,1,0,0,0,0
Ram,1,0,1,0,0,44,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,51,0,0,0,1,0,0,0,0
Jeep,0,0,0,0,0,0,0,47,0,0,0,1,0,0,0
Toyota,0,0,2,0,3,2,1,0,51,2,8,0,4,0,2
Chevrolet,0,2,4,0,1,1,0,0,1,43,0,0,0,0,26
Honda,0,0,0,1,1,1,0,0,2,1,50,0,0,0,0
Audi,1,0,1,1,0,1,0,0,1,0,0,48,0,1,0
Lexus,1,0,1,0,0,0,0,1,4,1,0,0,51,0,0
Tesla,2,4,2,0,3,0,1,0,0,5,1,0,2,54,3
GMC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35
