,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,51,3,2,2,2,1,1,3,4,0,2,5,6,2,4
Mercedes-Benz,2,41,1,2,1,2,0,3,5,2,2,5,7,1,5
Ford,0,0,52,2,3,4,3,5,0,4,0,3,3,2,4
Hyundai,0,0,1,44,2,0,0,0,0,0,0,1,0,0,0
Kia,0,0,2,11,51,0,0,0,0,0,0,0,1,0,0
Ram,1,0,0,0,0,41,0,3,0,0,0,0,0,0,0
Subaru,1,0,0,0,0,0,53,1,0,0,0,0,1,0,0
Jeep,0,0,0,1,0,0,0,49,0,0,0,0,0,0,0
Toyota,0,0,1,2,0,1,3,3,48,2,3,0,8,0,3
Chevrolet,0,1,1,2,0,2,1,0,0,38,0,0,0,0,29
Honda,0,0,0,2,0,2,2,1,0,2,50,0,0,0,1
Audi,2,2,0,1,0,1,0,2,0,0,0,46,2,1,1
Lexus,1,0,0,0,0,0,0,0,3,0,0,0,48,0,0
Tesla,1,2,5,4,1,1,1,2,0,4,1,2,2,53,5
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26
