,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,43,2,1,1,1,0,1,1,1,2,2,4,1,3,2
Mercedes-Benz,4,35,2,2,2,0,0,1,0,3,3,2,2,3,3
Ford,1,0,45,0,1,2,0,2,1,6,1,0,1,2,5
Hyundai,0,0,0,37,0,0,2,0,0,0,0,0,0,0,0
Kia,0,0,0,8,38,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,40,1,3,0,1,0,0,0,0,0
Subaru,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0
Toyota,0,0,0,2,1,0,3,2,44,1,3,0,5,0,2
Chevrolet,0,0,2,0,0,3,0,0,4,40,0,0,1,1,22
Honda,0,0,0,3,0,1,1,1,0,0,42,1,1,0,2
Audi,1,2,0,0,0,0,1,0,1,2,0,38,2,0,1
Lexus,0,0,0,0,0,0,0,0,4,0,0,0,39,0,0
Tesla,3,2,1,1,1,1,1,1,3,3,2,3,1,47,0
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
