,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,67,2,3,2,4,2,1,2,0,5,0,0,5,2,2
Mercedes-Benz,2,47,2,2,1,3,0,1,0,4,1,3,6,1,4
Ford,1,2,74,1,3,4,1,7,3,2,1,2,0,1,4
Hyundai,0,0,0,62,2,1,0,0,1,0,0,0,0,0,0
Kia,0,0,0,5,71,1,0,0,1,0,0,0,0,0,2
Ram,0,0,0,0,0,58,0,4,0,0,0,1,0,0,0
Subaru,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0
Toyota,0,1,1,5,1,1,3,6,73,5,6,0,7,3,2
Chevrolet,0,0,3,1,0,0,0,2,0,51,0,0,0,0,32
Honda,0,0,1,2,1,0,1,2,0,2,70,0,1,0,0
Audi,0,0,2,1,1,1,1,0,0,1,0,57,2,0,1
Lexus,0,0,0,0,0,0,0,0,2,0,0,0,64,0,0
Tesla,1,1,4,4,3,3,2,3,3,11,4,0,3,67,3
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,40
