,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,61,4,1,1,0,1,2,1,3,1,2,2,7,1,3
Mercedes-Benz,1,47,1,1,2,3,2,1,4,0,2,2,15,0,2
Ford,0,1,70,1,1,4,1,1,4,3,3,1,8,1,10
Hyundai,0,1,0,56,0,0,1,0,2,0,2,0,2,0,0
Kia,0,0,1,7,64,1,1,0,1,0,0,0,2,0,0
Ram,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,67,0,1,0,0,0,0,0,0
Jeep,0,0,0,1,0,0,0,62,0,0,0,0,0,0,0
Toyota,1,2,2,3,3,3,4,2,62,1,7,0,9,1,2
Chevrolet,0,0,0,0,0,1,0,0,0,54,1,0,0,0,35
Honda,0,0,0,1,0,1,2,0,1,1,61,0,4,0,1
Audi,1,4,1,2,1,1,2,0,2,3,0,61,5,0,3
Lexus,0,1,0,0,0,0,1,0,3,0,0,0,60,0,1
Tesla,6,5,2,1,6,0,2,0,0,2,1,1,5,71,4
GMC,0,0,0,0,0,1,0,0,0,2,0,0,0,0,35
