,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,63,1,0,1,5,1,5,1,2,4,4,4,5,1,4
Mercedes-Benz,0,42,0,1,3,5,1,1,4,4,3,4,4,2,4
Ford,1,2,67,2,2,4,4,2,2,6,4,1,0,0,6
Hyundai,0,0,1,58,1,1,1,0,0,0,0,0,0,0,1
Kia,0,1,0,10,68,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,1,0,61,0,3,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
Toyota,2,1,2,0,1,1,3,1,57,2,6,1,1,1,3
Chevrolet,0,1,1,0,1,1,0,1,0,51,0,0,0,0,39
Honda,0,1,0,1,0,0,0,0,2,2,70,1,1,0,0
Audi,0,2,0,0,0,0,1,1,1,2,0,59,3,0,1
Lexus,0,0,0,0,1,0,1,0,3,0,0,0,64,0,0
Tesla,6,3,2,8,6,3,2,1,3,2,5,2,2,66,7
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34
