,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,56,4,2,3,1,0,0,3,2,2,2,1,4,3,3
Mercedes-Benz,5,43,1,2,0,1,0,1,1,3,0,1,6,2,3
Ford,1,2,67,4,0,2,2,3,1,4,0,0,1,3,1
Hyundai,0,0,1,56,2,0,1,0,0,0,1,0,0,0,1
Kia,0,0,1,13,67,0,0,2,2,0,0,0,0,0,0
Ram,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0
Toyota,0,2,3,4,0,1,4,3,56,0,8,1,5,1,2
Chevrolet,0,0,2,0,1,1,1,1,3,47,0,0,0,0,30
Honda,1,0,1,3,0,0,0,1,2,0,61,0,1,1,1
Audi,3,3,1,1,0,0,1,0,1,0,1,49,3,1,0
Lexus,0,0,0,0,0,0,0,0,2,0,1,0,58,0,0
Tesla,2,3,2,1,3,1,2,0,0,5,3,1,1,60,4
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32
