,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,53,3,0,2,1,4,1,1,3,2,0,4,3,2,0
Mercedes-Benz,2,44,0,3,1,3,0,2,2,2,2,2,4,1,1
Ford,2,5,55,3,3,5,1,2,0,8,1,1,1,1,4
Hyundai,0,0,0,53,0,0,0,0,0,0,1,0,0,0,1
Kia,0,0,0,5,48,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,45,0,3,1,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
Jeep,0,0,1,0,0,0,0,53,0,0,0,0,0,0,0
Toyota,1,4,2,5,1,5,3,2,54,5,3,2,7,0,2
Chevrolet,0,0,1,1,0,4,1,0,1,38,0,0,0,0,28
Honda,1,0,0,2,0,1,1,0,2,0,51,0,1,0,2
Audi,3,2,0,0,1,0,0,2,1,1,0,44,0,1,0
Lexus,1,0,0,0,0,0,1,0,4,1,0,0,52,0,0
Tesla,2,3,2,2,1,4,2,2,2,11,1,0,2,60,6
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
