,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,55,2,2,0,1,2,1,2,4,0,0,2,7,2,1
Mercedes-Benz,4,43,2,1,1,1,0,2,3,0,0,1,10,1,2
Ford,1,0,54,2,1,3,1,5,1,5,1,1,3,1,4
Hyundai,0,0,0,46,2,0,0,0,0,0,0,0,0,0,0
Kia,0,0,0,8,55,0,1,0,0,0,0,0,0,1,0
Ram,0,0,1,0,0,44,0,0,0,0,1,0,0,0,0
Subaru,0,0,0,1,0,0,54,0,1,1,0,0,1,0,0
Jeep,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
Toyota,0,0,3,2,2,0,1,2,54,0,6,0,7,1,1
Chevrolet,0,0,0,0,0,0,0,0,0,50,0,0,0,2,26
Honda,0,0,0,2,1,0,1,0,2,0,54,0,2,1,0
Audi,2,1,2,0,1,0,0,2,2,0,0,50,3,0,0
Lexus,0,0,0,0,0,0,0,0,2,0,0,0,50,0,0
Tesla,3,1,3,0,3,1,0,0,1,10,2,1,1,56,5
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,30
