,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,50,2,1,3,1,3,1,0,2,1,2,4,1,0,0
Mercedes-Benz,2,48,2,3,3,1,1,2,2,0,2,6,1,1,1
Ford,0,0,55,2,3,2,0,5,0,4,3,0,1,1,1
Hyundai,0,0,0,46,5,0,0,0,1,0,0,0,0,0,0
Kia,0,0,0,8,52,0,0,0,1,0,0,0,0,0,0
Ram,0,0,1,0,0,39,0,4,0,0,1,0,1,0,0
Subaru,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
Toyota,0,1,2,3,1,1,4,2,50,2,4,0,6,2,1
Chevrolet,0,0,1,0,0,0,0,2,1,32,0,0,2,0,27
Honda,0,0,0,0,1,1,2,1,3,0,47,0,0,0,0
Audi,0,1,1,2,0,1,1,0,1,0,0,38,1,1,0
Lexus,1,0,0,0,0,0,0,0,2,0,0,0,49,0,0
Tesla,1,6,0,0,2,1,0,1,2,4,3,4,3,54,4
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26
