,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,59,4,4,0,3,1,2,0,5,3,1,4,4,4,2
Mercedes-Benz,5,51,4,0,1,4,0,0,4,3,0,4,5,4,6
Ford,0,0,62,2,0,1,2,6,1,6,5,1,3,4,6
Hyundai,0,0,0,56,0,1,0,0,0,0,2,0,0,0,1
Kia,0,0,0,8,61,0,0,1,0,0,1,1,1,0,0
Ram,0,0,0,0,1,63,0,1,0,2,1,0,0,0,0
Subaru,0,0,0,0,0,1,60,0,0,0,1,0,1,0,0
Jeep,0,0,0,0,0,0,0,64,0,1,0,0,0,0,0
Toyota,1,0,5,2,3,2,5,0,57,2,10,0,9,2,4
Chevrolet,1,0,0,1,1,2,0,1,1,44,0,0,0,0,31
Honda,0,0,0,3,2,0,1,0,2,1,64,0,1,1,2
Audi,3,1,0,0,1,0,1,0,0,0,0,53,1,0,1
Lexus,0,0,0,0,0,0,0,0,4,0,0,0,56,0,1
Tesla,1,1,7,3,1,1,1,1,2,2,1,1,0,66,3
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32
