,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,51,3,0,1,1,1,1,0,1,2,2,2,3,4,1
Mercedes-Benz,3,39,0,1,1,4,0,0,1,2,0,2,4,3,2
Ford,0,2,56,4,2,2,1,0,0,4,0,1,1,3,5
Hyundai,0,0,0,45,1,0,0,0,1,0,1,0,0,0,0
Kia,0,0,0,14,52,0,0,0,0,0,0,0,1,0,0
Ram,0,0,0,0,0,49,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
Toyota,0,1,0,4,2,4,6,0,50,0,3,1,7,0,3
Chevrolet,0,0,3,0,0,1,1,0,1,41,0,0,1,0,22
Honda,0,0,0,1,1,0,1,0,2,0,52,0,2,0,2
Audi,3,1,0,0,0,1,1,0,1,1,0,43,2,1,1
Lexus,0,1,0,0,0,0,0,0,3,1,0,0,49,0,0
Tesla,1,2,1,0,4,0,2,0,2,4,1,3,0,56,2
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
