,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,67,4,3,3,5,3,1,0,1,1,0,2,4,9,1
Mercedes-Benz,7,65,3,2,0,2,2,1,1,2,1,3,7,6,1
Ford,2,0,74,2,1,2,3,7,2,3,1,1,1,5,6
Hyundai,0,0,1,67,0,2,1,2,1,0,0,0,0,0,1
Kia,0,0,0,11,71,0,0,2,0,0,0,0,0,0,0
Ram,0,0,0,0,0,58,0,2,0,2,0,0,0,1,1
Subaru,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0
Jeep,0,0,0,1,0,2,0,60,0,1,0,0,0,0,1
Toyota,1,0,5,3,1,2,6,4,68,1,6,1,8,1,3
Chevrolet,0,0,0,0,0,3,1,2,0,54,0,0,0,1,31
Honda,0,0,2,0,1,1,1,1,5,0,68,0,1,0,0
Audi,4,1,0,3,0,1,1,0,0,2,0,63,3,0,0
Lexus,0,0,0,0,0,1,0,0,1,1,0,0,69,0,0
Tesla,2,5,1,1,0,3,1,1,4,10,1,1,1,70,4
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38
