,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,82,4,2,4,4,5,0,0,2,2,2,10,7,3,2
Mercedes-Benz,7,71,1,1,2,7,0,0,1,4,2,7,9,6,6
Ford,1,3,91,2,1,8,5,8,0,9,1,0,1,5,4
Hyundai,0,1,0,73,5,0,1,0,1,0,1,0,0,0,1
Kia,0,0,0,14,81,0,0,0,1,0,0,0,0,0,1
Ram,0,0,0,0,0,77,0,4,0,0,0,0,2,0,0
Subaru,0,0,1,0,0,0,89,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,80,0,1,0,0,0,0,0
Toyota,1,0,4,3,3,5,6,2,85,2,7,0,9,0,3
Chevrolet,0,0,3,1,0,2,0,2,0,74,0,0,0,0,45
Honda,0,0,2,4,2,2,1,1,5,1,87,0,0,1,2
Audi,0,3,0,2,0,3,0,1,1,0,0,74,2,3,3
Lexus,0,1,0,1,0,0,0,0,7,0,0,0,81,0,0
Tesla,7,3,6,1,5,1,2,0,8,12,4,2,1,83,7
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
