,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,45,2,0,1,4,1,0,0,2,2,1,2,4,2,0
Mercedes-Benz,1,34,2,1,2,2,1,0,2,2,2,3,4,2,1
Ford,0,0,47,2,2,4,1,1,1,5,1,1,2,2,0
Hyundai,0,0,0,42,5,0,0,1,0,0,0,1,0,1,0
Kia,0,0,0,9,42,0,0,0,0,0,0,0,0,0,0
Ram,0,0,1,0,1,35,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,44,0,0,0,1,0,1,0,0
Jeep,0,0,1,0,0,0,0,36,0,0,0,0,0,0,1
Toyota,0,2,0,2,2,1,2,1,42,2,7,2,4,0,1
Chevrolet,0,1,2,2,0,0,0,2,0,38,1,0,0,1,24
Honda,2,0,0,2,0,1,1,0,1,0,46,0,1,0,1
Audi,0,1,1,0,2,1,1,0,2,1,1,41,1,1,1
Lexus,1,0,0,0,0,0,1,0,4,0,0,0,37,0,0
Tesla,1,1,0,2,2,0,1,1,3,5,1,2,1,48,1
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
