,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,64,1,5,3,0,2,2,1,1,0,2,7,7,4,4
Mercedes-Benz,4,50,2,5,1,4,0,1,2,0,3,6,7,2,2
Ford,1,4,62,3,1,2,1,6,1,5,3,1,0,2,4
Hyundai,0,0,0,61,1,1,0,1,0,0,1,1,2,1,0
Kia,0,0,0,9,67,0,0,0,0,0,0,0,1,0,0
Ram,0,0,0,0,0,58,0,3,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,70,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,0,1,0,56,0,1,0,0,0,0,0
Toyota,1,1,2,2,4,3,6,4,57,4,6,2,10,2,4
Chevrolet,0,1,1,0,1,2,0,0,1,51,1,1,0,0,30
Honda,0,1,1,0,0,1,0,1,1,3,63,0,0,0,2
Audi,2,0,0,3,0,0,0,3,0,0,1,64,5,1,2
Lexus,0,0,0,0,0,0,0,0,4,0,1,0,56,1,0
Tesla,6,3,1,2,1,0,1,2,1,6,4,0,2,68,4
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
