,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,41,1,5,3,0,1,2,1,1,0,1,3,4,2,1
Mercedes-Benz,2,29,1,1,0,2,1,2,0,0,0,2,4,3,1
Ford,0,0,42,6,1,2,0,2,1,7,0,1,4,2,4
Hyundai,0,0,0,38,3,0,0,1,0,0,0,0,0,0,0
Kia,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
Jeep,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0
Toyota,0,0,0,2,2,4,3,2,43,0,2,0,6,0,1
Chevrolet,0,0,2,1,0,1,0,0,0,30,1,0,0,1,24
Honda,1,0,0,1,0,1,1,1,2,0,47,1,3,0,1
Audi,4,0,0,2,1,1,1,2,0,0,0,38,3,1,0
Lexus,0,0,0,0,1,0,0,0,4,0,1,0,44,0,0
Tesla,2,1,3,3,2,2,0,2,1,6,0,2,3,45,2
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23
