,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,41,0,1,2,1,0,1,0,1,1,0,1,3,0,2
Mercedes-Benz,2,33,2,2,1,4,1,1,1,2,1,2,3,0,4
Ford,1,0,46,2,2,1,1,1,1,4,0,1,1,1,3
Hyundai,0,0,0,41,2,1,0,0,0,0,0,0,0,0,0
Kia,0,0,0,4,42,0,0,0,0,0,0,0,0,0,0
Ram,0,0,1,0,0,34,0,1,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,1,0,0,38,0,0,0,0,0,0,1
Toyota,0,0,1,2,0,1,2,2,43,1,1,0,5,0,2
Chevrolet,0,0,0,0,1,1,0,0,1,38,0,0,0,0,15
Honda,0,0,0,1,0,0,2,0,2,0,43,0,0,0,1
Audi,2,0,1,1,0,0,0,0,0,0,0,37,1,0,2
Lexus,0,0,0,0,0,0,0,0,3,0,0,0,40,0,0
Tesla,5,4,0,1,1,0,0,4,3,5,1,2,2,46,2
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22
