,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,53,3,0,3,3,3,0,1,2,2,2,2,2,1,0
Mercedes-Benz,5,43,0,2,1,3,0,1,0,0,4,1,3,2,2
Ford,2,1,58,2,3,4,1,6,1,1,4,0,1,2,3
Hyundai,0,0,0,41,3,1,0,1,1,0,2,0,0,0,0
Kia,0,0,0,5,50,0,0,1,1,0,0,0,0,0,0
Ram,0,0,0,0,1,45,0,0,0,2,0,0,0,0,0
Subaru,0,0,0,0,2,0,57,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
Toyota,0,1,1,3,4,0,1,3,45,1,2,1,3,0,1
Chevrolet,0,0,0,0,3,3,0,1,0,41,0,0,0,0,19
Honda,0,0,1,3,2,0,0,1,4,1,54,0,1,1,0
Audi,0,1,0,1,0,1,0,0,0,0,1,48,1,1,0
Lexus,0,0,0,1,0,1,0,0,6,0,0,0,47,0,0
Tesla,4,0,6,3,4,1,1,0,2,4,0,0,3,55,4
GMC,0,0,0,0,0,1,0,0,0,1,0,0,0,0,31
