,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,67,1,1,6,3,2,2,2,0,4,4,4,4,4,4
Mercedes-Benz,3,52,1,3,2,5,1,2,1,4,4,3,2,3,2
Ford,4,1,75,4,2,5,6,2,3,5,5,1,3,4,5
Hyundai,0,0,0,63,2,2,0,1,1,0,1,0,0,1,0
Kia,0,0,0,7,69,1,0,0,0,0,0,0,3,1,0
Ram,0,0,0,0,0,59,0,0,0,0,1,0,0,0,0
Subaru,0,0,0,0,0,1,71,2,1,0,0,0,0,0,0
Jeep,0,0,0,0,0,1,0,63,0,0,0,0,0,1,0
Toyota,1,0,3,3,3,6,5,2,68,2,7,0,8,1,2
Chevrolet,1,0,2,0,2,2,1,0,5,57,1,0,1,2,38
Honda,1,0,0,2,1,1,3,0,3,1,66,0,2,2,0
Audi,2,0,1,5,1,2,0,0,0,1,0,61,3,2,2
Lexus,0,0,0,0,1,0,0,0,4,0,0,0,68,0,0
Tesla,1,4,0,2,5,3,0,0,2,8,3,5,4,73,6
GMC,1,0,0,0,0,0,0,1,0,2,0,0,0,1,48
