,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,61,1,3,0,2,2,1,5,1,0,2,7,2,4,2
Mercedes-Benz,1,44,2,4,1,2,2,2,1,2,3,7,5,3,2
Ford,0,0,64,2,2,1,1,4,2,5,1,1,0,4,5
Hyundai,0,0,0,52,3,1,0,0,3,0,0,0,0,0,0
Kia,0,0,0,13,59,0,0,1,0,0,0,0,0,0,0
Ram,0,0,0,0,0,53,0,0,1,0,0,0,0,0,1
Subaru,1,0,0,0,0,1,61,0,1,0,0,0,2,0,0
Jeep,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0
Toyota,1,1,3,3,3,4,3,2,56,5,4,0,11,2,2
Chevrolet,1,0,0,0,2,1,0,0,1,45,0,0,1,0,31
Honda,1,0,1,4,1,1,0,2,2,3,56,2,1,0,0
Audi,2,0,2,0,0,0,2,0,1,0,0,53,1,1,1
Lexus,1,0,0,0,0,0,0,0,5,1,0,0,58,0,0
Tesla,1,3,3,2,2,3,2,2,5,10,3,1,2,64,4
GMC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39
