,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,53,4,4,3,3,1,1,1,0,1,0,4,7,2,2
Mercedes-Benz,5,42,2,1,5,3,0,0,1,2,1,3,7,2,4
Ford,1,0,53,3,1,1,2,4,2,7,1,1,4,2,4
Hyundai,0,0,1,44,4,0,0,0,0,0,0,0,1,0,0
Kia,0,0,0,12,55,0,1,0,0,0,1,0,0,0,0
Ram,0,0,0,0,0,49,0,3,0,0,0,0,0,1,0
Subaru,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,51,0,2,0,1,1,1,0
Toyota,1,0,2,2,1,1,4,0,43,3,2,0,7,1,2
Chevrolet,0,0,1,0,1,0,0,1,0,40,0,1,2,0,26
Honda,0,0,1,4,1,0,1,1,0,1,50,0,1,0,1
Audi,2,2,0,1,1,0,0,0,0,0,0,52,2,2,3
Lexus,0,0,0,0,0,0,0,0,2,0,0,0,52,0,1
Tesla,6,3,5,0,3,4,1,1,3,6,0,0,2,51,4
GMC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33
