,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,68,7,5,3,3,4,1,2,2,1,4,4,3,4,6
Mercedes-Benz,4,55,2,1,1,3,2,2,3,1,3,5,5,2,8
Ford,1,2,67,3,2,5,5,7,3,6,4,3,3,1,4
Hyundai,0,0,0,61,0,0,1,0,1,0,2,0,1,0,0
Kia,0,2,0,13,70,0,0,0,0,0,0,0,3,0,0
Ram,0,0,0,0,0,55,0,2,0,0,1,2,0,0,0
Subaru,0,0,0,0,1,0,71,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
Toyota,1,1,4,2,1,2,3,0,64,1,4,0,9,0,3
Chevrolet,0,0,0,0,0,2,0,1,2,62,1,0,1,0,25
Honda,1,0,0,1,0,0,1,0,2,0,67,0,1,0,1
Audi,1,4,3,1,1,0,0,1,0,0,0,64,5,1,4
Lexus,0,0,0,0,0,1,0,0,0,1,0,0,62,0,1
Tesla,2,0,3,1,2,1,1,1,4,7,2,6,1,74,4
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
