,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,61,2,2,3,3,1,1,0,1,2,1,4,8,2,1
Mercedes-Benz,5,55,2,2,2,2,1,1,1,2,1,4,7,3,2
Ford,2,3,75,4,3,4,1,3,2,13,0,4,2,3,4
Hyundai,0,0,0,64,3,0,1,0,0,2,1,0,1,0,1
Kia,0,0,0,14,69,0,0,0,1,0,0,0,1,0,2
Ram,0,0,0,0,0,66,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,0,71,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
Toyota,0,3,4,5,1,4,2,2,69,3,4,1,7,1,2
Chevrolet,0,1,2,0,1,0,1,1,2,56,2,2,0,1,35
Honda,1,0,1,8,1,1,0,0,2,3,70,0,1,1,0
Audi,1,2,1,1,0,1,2,0,0,2,0,55,4,1,0
Lexus,1,1,0,0,0,0,0,0,3,0,0,0,66,0,0
Tesla,1,3,1,2,3,1,2,0,4,12,1,2,0,68,7
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36
