,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,49,1,2,0,2,2,1,1,1,2,5,6,1,1,1
Mercedes-Benz,3,39,0,2,2,4,1,1,3,2,3,8,1,4,1
Ford,1,7,53,3,0,4,1,8,1,4,3,1,3,1,3
Hyundai,0,1,0,43,2,1,0,1,0,0,2,1,1,0,0
Kia,0,0,0,5,53,1,1,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,41,0,2,0,1,0,0,0,0,1
Subaru,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0
Jeep,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0
Toyota,1,4,1,2,2,5,2,1,51,2,3,1,5,2,3
Chevrolet,0,1,2,0,0,2,0,3,0,38,0,0,0,1,32
Honda,1,2,0,3,1,2,2,0,0,1,50,0,0,0,0
Audi,1,1,0,0,1,1,1,0,1,1,1,41,0,0,1
Lexus,0,0,0,0,0,0,0,0,3,1,0,0,50,0,1
Tesla,3,6,4,3,3,2,1,2,1,3,0,3,1,50,4
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27
