,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,85,3,3,1,2,1,3,1,6,1,5,6,6,7,2
Mercedes-Benz,3,66,3,2,3,3,3,1,3,2,3,6,5,4,4
Ford,0,4,88,2,4,4,0,10,5,9,3,3,5,4,2
Hyundai,0,1,0,84,8,0,0,0,0,2,0,0,0,0,0
Kia,0,1,0,7,82,0,0,0,0,0,0,0,1,0,0
Ram,0,0,0,0,0,72,0,3,0,0,0,1,0,0,1
Subaru,0,1,1,0,0,0,93,0,0,0,1,0,0,0,0
Jeep,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0
Toyota,1,1,3,3,1,2,6,3,80,1,4,1,16,5,2
Chevrolet,0,1,5,0,1,1,0,1,1,64,0,0,0,2,33
Honda,1,1,2,2,1,1,3,0,1,1,90,0,2,2,1
Audi,2,0,0,2,1,0,1,1,1,1,4,83,2,2,2
Lexus,0,0,0,1,0,0,1,0,2,0,1,0,82,0,0
Tesla,2,4,3,5,8,1,1,0,5,5,1,3,2,87,4
GMC,0,0,1,0,0,0,0,0,0,2,0,0,0,0,50
