"","brand1","brand2","frq"
"317","Porsche","Volkswagen",607
"318","Porsche","Ferrari",1180
"319","Porsche","Lexus",10
"320","Porsche","Volvo",6
"321","Audi","Jeep",92
"322","Audi","Subaru",16
"323","Audi","Dodge",11
"324","Audi","Tesla",254
"325","Audi","Toyota",465
"326","Audi","Honda",386
"327","Audi","Nissan",148
"328","Audi","Chevrolet",125
"329","Audi","Hyundai",29
"330","Audi","Mazda",74
"331","Audi","Renault",51
"332","Audi","Lamborghini",27
"333","Audi","Mercedes-Benz",728
"334","Audi","BMW",1784
"335","Audi","Ford",373
"336","Audi","Porsche",268
"337","Audi","Volkswagen",1297
"338","Audi","Ferrari",111
"339","Audi","Lexus",28
"340","Audi","Volvo",28
"341","Volkswagen","Jeep",137
"342","Volkswagen","Subaru",9
"343","Volkswagen","Dodge",7
"344","Volkswagen","Tesla",290
"345","Volkswagen","Toyota",640
"346","Volkswagen","Honda",167
"347","Volkswagen","Nissan",89
"348","Volkswagen","Chevrolet",102
"349","Volkswagen","Hyundai",43
"350","Volkswagen","Mazda",43
"351","Volkswagen","Renault",34
"352","Volkswagen","Lamborghini",4
"353","Volkswagen","Mercedes-Benz",204
"354","Volkswagen","BMW",272
"355","Volkswagen","Ford",683
"356","Volkswagen","Porsche",365
"357","Volkswagen","Audi",764
"358","Volkswagen","Ferrari",22
"359","Volkswagen","Lexus",20
"360","Volkswagen","Volvo",22
"361","Ferrari","Jeep",108
"362","Ferrari","Subaru",2
"363","Ferrari","Dodge",3
"364","Ferrari","Tesla",44
"365","Ferrari","Toyota",47
"366","Ferrari","Honda",197
"367","Ferrari","Nissan",30
"368","Ferrari","Chevrolet",13
"369","Ferrari","Hyundai",3
"370","Ferrari","Mazda",11
"371","Ferrari","Renault",112
"372","Ferrari","Lamborghini",81
"373","Ferrari","Mercedes-Benz",808
"374","Ferrari","BMW",275
"375","Ferrari","Ford",53
"376","Ferrari","Porsche",211
"377","Ferrari","Audi",108
"378","Ferrari","Volkswagen",18
"379","Ferrari","Lexus",3
"380","Ferrari","Volvo",1
"381","Lexus","Jeep",23
"382","Lexus","Subaru",100
"383","Lexus","Dodge",11
"384","Lexus","Tesla",222
"385","Lexus","Toyota",1061
"386","Lexus","Honda",536
"387","Lexus","Nissan",490
"388","Lexus","Chevrolet",114
"389","Lexus","Hyundai",51
"390","Lexus","Mazda",213
"391","Lexus","Renault",45
"392","Lexus","Lamborghini",31
"393","Lexus","Mercedes-Benz",1067
"394","Lexus","BMW",2076
"395","Lexus","Ford",260
"396","Lexus","Porsche",291
"397","Lexus","Audi",474
"398","Lexus","Volkswagen",112
"399","Lexus","Ferrari",90
"400","Lexus","Volvo",8
"401","Volvo","Jeep",57
"402","Volvo","Subaru",26
"403","Volvo","Dodge",15
"404","Volvo","Tesla",903
"405","Volvo","Toyota",653
"406","Volvo","Honda",465
"407","Volvo","Nissan",215
"408","Volvo","Chevrolet",327
"409","Volvo","Hyundai",82
"410","Volvo","Mazda",35
"411","Volvo","Renault",96
"412","Volvo","Lamborghini",8
"413","Volvo","Mercedes-Benz",354
"414","Volvo","BMW",1069
"415","Volvo","Ford",837
"416","Volvo","Porsche",90
"417","Volvo","Audi",182
"418","Volvo","Volkswagen",277
"419","Volvo","Ferrari",13
"420","Volvo","Lexus",20
