,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,45,2,2,3,0,1,1,0,1,0,3,4,3,5,1
Mercedes-Benz,9,47,4,4,2,4,1,0,0,0,2,2,2,2,0
Ford,2,0,54,2,0,6,0,4,1,5,0,2,1,4,4
Hyundai,1,0,0,46,4,0,0,0,0,0,3,1,0,0,0
Kia,1,0,1,8,50,0,0,0,0,0,1,0,0,0,0
Ram,0,0,0,0,0,49,0,2,0,0,0,0,0,0,1
Subaru,0,0,0,0,0,0,55,0,0,0,0,1,0,0,0
Jeep,0,0,0,0,0,2,0,52,1,1,0,0,1,0,0
Toyota,0,0,1,1,3,1,1,1,47,1,7,2,6,4,1
Chevrolet,1,0,2,1,0,1,1,1,1,39,0,1,1,1,20
Honda,0,0,1,1,1,0,1,1,1,1,53,1,1,1,0
Audi,6,0,0,1,2,0,0,0,1,0,0,47,2,4,0
Lexus,0,1,0,1,0,1,0,0,6,0,0,0,49,0,0
Tesla,0,4,4,2,3,0,2,0,5,6,1,2,1,56,3
GMC,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30
