,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,67,4,2,3,1,2,3,0,0,1,2,3,4,3,2
Mercedes-Benz,7,61,1,2,3,11,3,1,2,0,1,3,7,0,3
Ford,1,0,72,5,7,2,2,6,4,6,1,0,1,2,4
Hyundai,0,0,0,67,2,1,0,2,0,0,0,0,0,1,0
Kia,0,0,0,8,71,0,0,1,0,0,0,0,0,0,1
Ram,0,0,0,0,0,58,1,0,0,0,0,0,0,1,0
Subaru,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,71,0,1,0,0,0,0,0
Toyota,1,2,3,1,0,0,4,1,66,4,5,1,7,2,2
Chevrolet,0,1,2,2,1,0,0,1,0,55,0,0,0,0,36
Honda,1,0,1,4,0,0,0,0,1,2,72,0,2,0,0
Audi,1,1,3,2,1,1,1,0,0,1,0,57,3,2,0
Lexus,0,0,0,1,0,0,0,0,3,1,0,0,62,0,0
Tesla,1,4,2,2,2,1,0,1,3,9,2,2,2,76,2
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35
