,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,48,2,3,0,2,4,1,0,1,1,0,3,3,4,0
Mercedes-Benz,2,41,2,0,2,3,2,0,0,2,0,4,3,2,2
Ford,0,1,54,2,3,2,1,4,2,3,1,1,2,3,4
Hyundai,0,0,0,49,0,1,0,0,0,0,0,0,0,0,0
Kia,1,0,0,2,51,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,49,0,1,0,0,0,0,0,0,1
Subaru,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,1,47,0,0,0,0,0,0,0
Toyota,0,1,1,3,4,3,11,2,50,2,4,0,6,2,0
Chevrolet,0,0,0,1,1,1,0,1,0,35,0,0,1,1,24
Honda,0,0,0,3,1,1,2,1,1,1,47,0,2,0,0
Audi,1,3,1,1,0,0,0,0,0,0,2,41,3,0,1
Lexus,0,0,0,0,0,0,0,0,4,0,0,0,53,0,0
Tesla,4,1,0,2,3,3,2,0,1,4,1,1,2,55,3
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37
