,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,39,3,2,1,1,1,0,4,1,0,2,2,1,1,2
Mercedes-Benz,2,29,1,0,0,1,0,1,0,1,1,2,7,1,1
Ford,1,2,46,2,2,1,1,4,3,3,1,2,2,0,8
Hyundai,0,0,0,38,2,0,0,1,1,0,0,0,0,0,0
Kia,0,0,0,7,41,0,0,1,1,0,0,1,0,0,0
Ram,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,1,0,0,45,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
Toyota,0,1,0,5,2,1,3,2,39,0,3,0,5,0,0
Chevrolet,1,1,2,1,0,0,0,2,1,34,0,0,0,0,21
Honda,0,0,0,1,1,0,1,0,1,0,47,0,3,0,3
Audi,1,1,1,0,0,1,0,1,0,0,1,40,0,0,2
Lexus,0,0,0,1,0,0,0,0,2,1,0,0,40,0,0
Tesla,3,5,1,1,3,1,1,1,4,2,0,1,0,46,2
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
