,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,15,1,1,0,1,1,0,1,0,0,1,1,1,0,1
Mercedes-Benz,0,13,0,0,0,2,0,1,0,0,1,1,1,0,1
Ford,0,1,16,1,2,0,0,0,0,1,2,1,0,1,4
Hyundai,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0
Kia,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0
Toyota,0,1,0,0,0,1,2,1,15,0,0,0,5,0,2
Chevrolet,1,0,0,0,0,0,0,0,0,13,0,0,0,0,11
Honda,0,0,0,0,0,0,0,0,1,0,18,1,1,0,0
Audi,0,0,0,0,1,0,0,0,0,0,0,13,1,0,1
Lexus,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
Tesla,1,0,1,1,1,0,0,0,1,0,0,1,0,18,2
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
