,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,69,3,2,5,1,2,1,0,5,3,5,6,7,7,0
Mercedes-Benz,10,53,2,3,1,4,0,0,3,4,3,3,11,5,1
Ford,0,0,73,2,2,2,3,6,1,3,3,0,2,7,5
Hyundai,0,0,0,62,3,0,0,1,0,0,0,0,0,0,0
Kia,1,0,0,3,70,0,1,0,0,0,0,0,1,0,0
Ram,0,0,0,0,0,65,0,1,0,0,0,0,0,0,1
Subaru,0,0,0,0,0,1,73,1,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0
Toyota,2,0,3,6,2,1,4,3,63,1,8,1,10,2,1
Chevrolet,0,0,0,1,1,1,0,1,1,52,0,0,1,1,28
Honda,0,0,0,3,1,3,1,2,4,3,70,0,2,0,0
Audi,8,5,0,0,1,0,0,1,1,1,0,63,2,4,1
Lexus,0,0,0,1,1,0,0,0,4,0,0,1,66,0,0
Tesla,2,6,1,4,5,1,2,1,2,8,2,4,1,70,5
GMC,0,0,1,0,0,0,0,0,0,0,0,0,1,0,36
