,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,53,2,0,2,1,1,0,0,1,1,0,4,6,3,0
Mercedes-Benz,1,42,1,0,0,2,0,0,1,1,0,3,6,0,1
Ford,1,2,55,2,0,2,0,2,1,1,1,3,2,2,3
Hyundai,1,0,0,43,2,0,0,0,0,0,0,0,0,0,0
Kia,0,0,0,4,53,0,0,0,0,0,0,0,0,0,0
Ram,0,0,1,0,0,46,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,0,54,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
Toyota,0,1,0,0,2,2,3,4,48,1,4,1,4,1,0
Chevrolet,0,0,1,0,0,0,0,1,1,39,1,0,1,1,29
Honda,0,0,0,0,1,0,2,0,2,1,54,0,0,0,0
Audi,2,1,1,0,0,1,1,0,0,0,1,51,2,0,0
Lexus,0,1,0,0,0,0,0,2,3,0,0,0,50,0,0
Tesla,2,2,4,1,0,1,1,2,4,5,2,0,1,55,3
GMC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31
