,Unnamed: 0,The car brand is similar to
0,Audi,361
1,BMW,719
2,Chevrolet,92
3,Ford,467
4,GMC,5
5,Honda,150
6,Hyundai,48
7,Jeep,6
8,Kia,17
9,Lexus,23
10,Mercedes-Benz,633
11,Ram,3
12,Subaru,18
13,Tesla,159
14,Toyota,245
