,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,69,3,2,4,3,5,2,0,1,2,1,7,3,2,0
Mercedes-Benz,3,57,6,1,2,6,1,1,5,1,3,4,5,2,0
Ford,1,4,73,3,4,7,0,3,7,8,2,3,5,1,0
Hyundai,0,1,0,65,1,0,0,1,0,0,2,1,0,0,0
Kia,0,0,0,8,75,0,0,0,0,0,1,0,0,0,0
Ram,0,0,0,0,0,56,0,5,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
Toyota,1,1,2,4,4,4,0,2,68,1,8,1,12,0,0
Chevrolet,0,0,1,0,0,3,0,0,0,56,2,0,3,0,42
Honda,1,1,1,1,1,1,1,0,4,1,66,0,2,0,0
Audi,1,4,0,0,1,3,1,1,1,0,0,54,0,0,0
Lexus,0,0,0,0,1,0,0,0,7,0,2,0,62,0,0
Tesla,5,2,1,1,0,2,2,0,4,6,4,1,5,72,1
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43
