,Guinness is similar to,Miller High Life is similar to,Dos Equis is similar to,Michelob Ultra is similar to,Rolling Rock is similar to,Red Stripe is similar to
Guinness,142,0,0,0,0,0
Miller High Life,0,1,0,0,0,0
Dos Equis,0,0,93,0,0,0
Michelob Ultra,0,0,0,201,0,0
Rolling Rock,0,0,0,0,62,0
Red Stripe,0,0,0,0,0,25
